N=4:	(1,3,0,2)
N=5:	(0,2,4,1,3)
N=6:	(1,3,5,0,2,4)
N=7:	(0,2,4,6,1,3,5)
N=8:	(0,4,7,5,2,6,1,3)
N=9:	(0,2,5,7,1,3,8,6,4)
N=10:	(0,2,5,7,9,4,8,1,3,6)
N=11:	(0,2,4,6,8,10,1,3,5,7,9)
N=12:	(0,2,4,7,9,11,5,10,1,6,8,3)
N=13:	(0,2,4,1,8,11,9,12,3,5,7,10,6)
N=14:	(0,2,4,6,11,9,12,3,13,8,1,5,7,10)
N=15:	(0,2,4,1,9,11,13,3,12,8,5,14,6,10,7)
N=16:	(0,2,4,1,12,8,13,11,14,5,15,6,3,10,7,9)
N=17:	(0,2,4,1,7,10,14,6,15,13,16,3,5,8,11,9,12)
N=18:	(0,2,4,1,7,14,11,15,12,16,5,17,6,3,10,8,13,9)
N=19:	(0,2,4,1,3,8,12,14,16,18,6,15,17,10,5,7,9,11,13)
N=20:	(0,2,4,1,3,12,14,11,17,19,16,8,15,18,7,9,6,13,5,10)
N=21:	(0,2,4,1,3,8,10,14,20,17,19,16,18,6,11,9,7,5,13,15,12)
N=22:	(0,2,4,1,3,9,13,16,19,12,18,21,17,7,20,11,8,5,15,6,10,14)
N=23:	(0,2,4,1,3,8,10,12,17,19,21,18,20,9,7,5,22,6,15,11,14,16,13)
N=24:	(0,2,4,1,3,8,10,13,17,21,18,22,19,23,9,20,5,7,11,15,12,6,16,14)
N=25:	(0,2,4,1,3,8,10,12,14,18,20,23,19,24,22,5,7,9,6,13,15,17,11,16,21)
N=26:	(0,2,4,1,3,8,10,12,14,20,22,24,19,21,23,25,9,6,15,11,7,5,17,13,18,16)
N=27:	(0,2,4,1,3,8,10,12,14,16,18,22,24,26,23,25,5,9,6,15,7,11,13,20,17,19,21)
N=28:	(0,2,4,1,3,8,10,12,14,16,22,24,21,27,25,23,26,6,11,15,17,7,9,13,19,5,20,18)
N=29:	(0,2,4,1,3,8,10,12,14,5,19,23,25,20,28,26,24,27,7,11,6,15,9,16,21,13,17,22,18)
N=30:	(0,2,4,1,3,8,10,12,14,6,22,25,27,24,21,23,29,26,28,15,11,9,7,5,17,19,16,13,20,18)
N=31:	(0,2,4,1,3,8,10,12,14,5,17,22,25,27,30,24,26,29,6,16,28,13,9,7,19,11,15,18,21,23,20)
N=32:	(0,2,4,1,3,8,10,12,14,5,17,23,25,29,24,30,27,31,26,28,15,18,9,7,16,11,20,6,13,22,19,21)
N=33:	(0,2,4,1,3,8,10,12,14,5,7,24,26,32,30,22,27,25,28,31,29,15,17,11,9,16,6,13,20,18,23,21,19)
