1	1
1	3
1	4
1	9
1	10
1	5
1	12
1	7
1	8
1	62
2	2
2	70
2	76
2	73
2	72
2	69
2	82
2	74
2	75
2	81
3	3
3	9
3	4
3	5
3	7
3	8
3	10
3	62
3	66
3	12
4	4
4	8
4	10
4	12
4	9
4	6
4	14
4	62
4	5
4	96
5	5
5	9
5	7
5	10
5	25
5	27
5	21
5	11
5	6
5	77
6	6
6	96
6	11
6	8
6	97
6	14
6	101
6	62
6	63
6	13
7	7
7	9
7	25
7	23
7	27
7	4
7	98
7	22
7	67
7	15
8	8
8	14
8	96
8	11
8	12
8	62
8	10
8	13
8	63
8	71
9	9
9	23
9	25
9	10
9	66
9	62
9	27
9	8
9	67
9	97
10	10
10	12
10	19
10	21
10	66
10	23
10	101
10	14
10	26
10	17
11	11
11	96
11	13
11	101
11	98
11	97
11	14
11	15
11	63
11	43
12	12
12	19
12	14
12	16
12	62
12	44
12	99
12	65
12	63
12	80
13	13
13	15
13	98
13	43
13	14
13	101
13	96
13	97
13	44
13	42
14	14
14	44
14	96
14	43
14	19
14	15
14	99
14	98
14	101
14	97
15	15
15	98
15	42
15	43
15	101
15	99
15	104
15	97
15	96
15	40
16	16
16	19
16	44
16	106
16	14
16	6
16	17
16	51
16	104
16	1
17	17
17	19
17	21
17	12
17	5
17	24
17	25
17	44
17	67
17	7
18	18
18	20
18	38
18	66
18	12
18	6
18	62
18	1
18	19
18	17
19	19
19	44
19	4
19	8
19	1
19	98
19	9
19	3
19	41
19	25
20	20
20	22
20	63
20	96
20	71
20	66
20	79
20	42
20	78
20	100
21	21
21	68
21	62
21	40
21	22
21	64
21	43
21	8
21	99
21	12
22	22
22	27
22	26
22	25
22	24
22	31
22	30
22	23
22	29
22	5
23	23
23	67
23	27
23	65
23	25
23	24
23	66
23	64
23	26
23	3
24	24
24	27
24	26
24	31
24	25
24	30
24	65
24	5
24	67
24	7
25	25
25	27
25	26
25	30
25	3
25	31
25	67
25	1
25	29
25	11
26	26
26	27
26	30
26	31
26	29
26	7
26	28
26	44
26	104
26	63
27	27
27	31
27	30
27	67
27	65
27	29
27	63
27	21
27	1
27	3
28	28
28	38
28	29
28	33
28	30
28	106
28	50
28	15
28	8
28	84
29	29
29	30
29	33
29	31
29	37
29	32
29	38
29	24
29	100
29	43
30	30
30	31
30	33
30	32
30	37
30	18
30	65
30	5
30	96
30	9
31	31
31	32
31	37
31	33
31	6
31	13
31	4
31	96
31	38
31	43
32	32
32	37
32	35
32	33
32	36
32	97
32	106
32	62
32	47
32	10
33	33
33	37
33	38
33	36
33	35
33	6
33	68
33	13
33	12
33	23
34	34
34	38
34	36
34	39
34	8
34	7
34	62
34	71
34	11
34	3
35	35
35	37
35	36
35	39
35	29
35	67
35	107
35	21
35	12
35	66
36	36
36	39
36	37
36	44
36	79
36	16
36	8
36	63
36	101
36	38
37	37
37	39
37	62
37	27
37	1
37	100
37	34
37	65
37	26
37	9
38	38
38	30
38	100
38	21
38	19
38	62
38	3
38	63
38	67
38	22
39	39
39	33
39	63
39	29
39	11
39	1
39	26
39	14
39	9
39	44
40	40
40	47
40	41
40	42
40	43
40	46
40	104
40	130
40	50
40	13
41	41
41	47
41	42
41	130
41	104
41	127
41	128
41	15
41	46
41	43
42	42
42	104
42	43
42	47
42	98
42	99
42	106
42	101
42	11
42	107
43	43
43	44
43	98
43	50
43	51
43	47
43	101
43	96
43	6
43	104
44	44
44	51
44	50
44	11
44	15
44	8
44	6
44	42
44	98
44	96
45	45
45	48
45	57
45	52
45	53
45	8
45	98
45	97
45	106
45	107
46	46
46	54
46	47
46	50
46	51
46	49
46	99
46	4
46	97
46	42
47	47
47	130
47	50
47	54
47	51
47	127
47	15
47	44
47	49
47	99
48	48
48	49
48	52
48	53
48	57
48	127
48	54
48	99
48	104
48	10
49	49
49	54
49	52
49	50
49	45
49	51
49	67
49	43
49	19
49	16
50	50
50	51
50	54
50	16
50	42
50	4
50	96
50	12
50	25
50	21
51	51
51	54
51	40
51	66
51	21
51	9
51	25
51	10
51	24
51	71
52	52
52	53
52	54
52	19
52	5
52	51
52	101
52	130
52	28
52	25
53	53
53	23
53	4
53	42
53	14
53	106
53	64
53	98
53	100
53	96
54	54
54	13
54	64
54	41
54	42
54	12
54	7
54	66
54	67
54	68
55	55
55	59
55	58
55	65
55	66
55	79
55	30
55	23
55	19
55	6
56	56
56	60
56	61
56	38
56	37
56	21
56	7
56	32
56	26
56	16
57	57
57	61
57	13
57	96
57	19
57	22
57	3
57	30
57	7
57	103
58	58
58	59
58	64
58	98
58	19
58	11
58	68
58	132
58	71
58	25
59	59
59	4
59	37
59	28
59	54
59	40
59	88
59	24
59	5
59	51
60	60
60	61
60	14
60	38
60	20
60	103
60	50
60	15
60	71
60	85
61	61
61	47
61	13
61	11
61	10
61	50
61	41
61	128
61	71
61	97
62	62
62	63
62	66
62	96
62	71
62	68
62	64
62	97
62	11
62	101
63	63
63	71
63	96
63	97
63	68
63	66
63	101
63	79
63	64
63	1
64	64
64	66
64	67
64	68
64	65
64	71
